"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "HTML", "CSS", "Svelte", "Markdown", "comment", "blank", "total"
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-description.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-nested.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-overlay.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-title.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 5, 42
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\input\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\input\input.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\label\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\label\label.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\popover\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\popover\popover-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\index.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 3, 33
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-cell.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-day.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-grid-row.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-grid.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-head-cell.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-heading.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-months.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-next-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-prev-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 55, 0, 0, 3, 58
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 1, 4, 35
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 34, 0, 0, 3, 37
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-group-heading.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-item.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 35, 0, 0, 3, 38
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-scroll-down-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-scroll-up-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-separator.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-trigger.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\separator\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\separator\separator.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sheet\index.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 1, 3, 37
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sheet\sheet-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sheet\sheet-description.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sheet\sheet-footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sheet\sheet-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sheet\sheet-overlay.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sheet\sheet-title.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\constants.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\context.svelte.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 24, 13, 82
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\index.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 1, 2, 76
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-group-action.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-group-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-group-label.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-group.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-input.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-inset.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-action.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 44
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-badge.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 89, 0, 0, 9, 98
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-item.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-skeleton.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-sub-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 44
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-sub-item.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu-sub.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-menu.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-provider.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-rail.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-separator.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar-trigger.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sidebar\sidebar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 94, 0, 1, 4, 99
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\skeleton\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\skeleton\skeleton.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sonner\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\sonner\sonner.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\tabs\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\tabs\tabs-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\tabs\tabs-list.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\tabs\tabs-trigger.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\textarea\index.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\textarea\textarea.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\tooltip\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\tooltip\tooltip-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\google.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\hooks\is-mobile.svelte.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\stores\route.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\utils.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\+layout.server.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
